ReviewID,CustomerID,ReviewDate,Rating,ProductID,ReviewText,SentimentScores,SentimentCategory,SentimentBucket
1,77,2023-12-23,3,18,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
2,80,2024-12-25,5,19,The quality is  top-notch.,0.0,Positive,0.0 to 0.49
3,50,2025-01-26,4,13,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
4,78,2025-04-21,3,15,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
5,64,2023-07-16,3,2,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
6,81,2025-12-21,4,1,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
7,16,2024-01-29,3,1,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
8,55,2024-08-15,5,8,The quality  is top-notch.,0.0,Positive,0.0 to 0.49
9,3,2023-09-01,4,13,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
10,78,2024-06-17,5,6,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
11,54,2023-07-17,4,9,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
12,77,2025-01-13,2,2,Product did  not meet my expectations.,0.0,Negative,0.0 to 0.49
13,93,2024-08-20,5,6,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
14,23,2025-06-16,4,2,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
15,29,2023-01-27,5,11,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
16,95,2023-01-06,5,17,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
17,88,2025-10-29,3,4,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
18,17,2024-11-23,4,16,Shipping was fast and the item was well-packaged.,0.0,Positive,0.0 to 0.49
19,34,2024-01-04,4,13,The quality is top-notch.,0.0,Positive,0.0 to 0.49
20,34,2023-04-29,1,6,I had a bad experience with this product.,-0.5423,Negative,-1.0 to -0.5
21,22,2023-04-08,5,15,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
22,52,2025-10-30,4,3,The quality is top-notch.,0.0,Positive,0.0 to 0.49
23,69,2023-07-02,5,18,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
24,100,2025-07-18,3,4,"I love this  product, will buy again!",0.6696,Mixed Positive,0.5 to 1.0
